Building Name,Building Address,Building Support Group,IT Department,On-Call Shift,On-Call Phone Number,On-Call Name
Geriatric Health Facility,"800 Chestnut Place, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-319-1854,Fatima Al-Khalifa
Geriatric Health Facility,"800 Chestnut Place, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-835-8392,Mohamed AlHashmi
Geriatric Health Facility,"800 Chestnut Place, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-484-6249,Li Wei
Geriatric Health Facility,"800 Chestnut Place, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-152-2707,Nia Murray
Geriatric Health Facility,"800 Chestnut Place, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-829-6791,Chris Davis
Geriatric Health Facility,"800 Chestnut Place, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-809-6535,Ali Nassar
Geriatric Health Facility,"800 Chestnut Place, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-346-5931,Luis Guerra
Geriatric Health Facility,"800 Chestnut Place, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-538-1202,Hugo Santos
Psychiatric Annex,"900 Ash Boulevard, Franklin City, PA",Facilities,,,999-555-0101,
Psychiatric Annex,"900 Ash Boulevard, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-283-5218,Isla Robertson
Psychiatric Annex,"900 Ash Boulevard, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-500-9958,Sarah Parker
Psychiatric Annex,"900 Ash Boulevard, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-393-3327,Amelie Dubois
Psychiatric Annex,"900 Ash Boulevard, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-936-3931,Kato Takahashi
Psychiatric Annex,"900 Ash Boulevard, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-709-1197,John Smith
Psychiatric Annex,"900 Ash Boulevard, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-610-7287,Jessica Miller
Psychiatric Annex,"900 Ash Boulevard, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-708-5282,Min-jun Lee
Psychiatric Annex,"900 Ash Boulevard, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-425-3511,Robert Johnson
Psychiatric Annex,"900 Ash Boulevard, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-448-1659,Luca Rossi
Rehabilitation & Physical Therapy Center,"1000 Spruce Circle, Franklin City, PA",Facilities,,,999-555-0101,
Rehabilitation & Physical Therapy Center,"1000 Spruce Circle, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-863-8098,Dao Wei
Rehabilitation & Physical Therapy Center,"1000 Spruce Circle, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-502-2986,Olivia Bernard
Rehabilitation & Physical Therapy Center,"1000 Spruce Circle, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-610-9338,Ibrahim Saleh
Rehabilitation & Physical Therapy Center,"1000 Spruce Circle, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-247-3911,Lucas Novak
Rehabilitation & Physical Therapy Center,"1000 Spruce Circle, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-810-2843,Raj Patel
Rehabilitation & Physical Therapy Center,"1000 Spruce Circle, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-588-3976,Suki Kim
Rehabilitation & Physical Therapy Center,"1000 Spruce Circle, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-739-7694,Finn Muller
Rehabilitation & Physical Therapy Center,"1000 Spruce Circle, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-437-5736,Emily Johnson
Rehabilitation & Physical Therapy Center,"1000 Spruce Circle, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-878-9155,Samuel Dube
Diabetes and Endocrinology Clinic,"1100 Hawthorn Isle, Franklin City, PA",Facilities,,,999-555-0101,
Diabetes and Endocrinology Clinic,"1100 Hawthorn Isle, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-572-6534,Sofia Silva
Diabetes and Endocrinology Clinic,"1100 Hawthorn Isle, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-397-1262,Karen White
Diabetes and Endocrinology Clinic,"1100 Hawthorn Isle, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-863-7287,Sadiq Aziz
Diabetes and Endocrinology Clinic,"1100 Hawthorn Isle, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-445-9815,Oscar Holmberg
Diabetes and Endocrinology Clinic,"1100 Hawthorn Isle, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-671-3049,Laila Rahimi
Diabetes and Endocrinology Clinic,"1100 Hawthorn Isle, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-996-6423,Chen Yu
Diabetes and Endocrinology Clinic,"1100 Hawthorn Isle, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-353-5548,Hans Schmidt
Diabetes and Endocrinology Clinic,"1100 Hawthorn Isle, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-136-8158,Amina Ndiaye
Diabetes and Endocrinology Clinic,"1100 Hawthorn Isle, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-108-8400,Sun Li
Infectious Disease Lab,"1200 Sycamore Parkway, Franklin City, PA",Facilities,,,999-555-0101,
Infectious Disease Lab,"1200 Sycamore Parkway, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-198-3255,Nadia Farah
Infectious Disease Lab,"1200 Sycamore Parkway, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-230-5499,Amira ElSayed
Infectious Disease Lab,"1200 Sycamore Parkway, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-251-7197,Omar Kader
Infectious Disease Lab,"1200 Sycamore Parkway, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-219-2648,Ananya Roy
Infectious Disease Lab,"1200 Sycamore Parkway, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-519-5199,Mei Chen
Infectious Disease Lab,"1200 Sycamore Parkway, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-951-9445,Haruto Takahashi
Infectious Disease Lab,"1200 Sycamore Parkway, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-326-3557,Isabella Mancini
Infectious Disease Lab,"1200 Sycamore Parkway, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-572-1098,Michael Williams
Infectious Disease Lab,"1200 Sycamore Parkway, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-252-3961,Diego Martinez
Dermatology Department,"1300 Magnolia Street, Franklin City, PA",Facilities,,,999-555-0101,
Dermatology Department,"1300 Magnolia Street, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-995-5973,Chen Bao
Dermatology Department,"1300 Magnolia Street, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-437-3869,Betty Harris
Dermatology Department,"1300 Magnolia Street, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-262-1956,Elena Mancini
Dermatology Department,"1300 Magnolia Street, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-780-9352,Anele Dlamini
Dermatology Department,"1300 Magnolia Street, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-679-7944,Yousef Amir
Dermatology Department,"1300 Magnolia Street, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-497-5911,Steven Wilson
Dermatology Department,"1300 Magnolia Street, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-603-7015,Fatima Al-Khalifa
Dermatology Department,"1300 Magnolia Street, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-491-2218,Mohamed AlHashmi
Dermatology Department,"1300 Magnolia Street, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-500-5735,Li Wei
Allergy and Immunology Unit,"1400 Willow Alley, Franklin City, PA",Facilities,,,999-555-0101,
Allergy and Immunology Unit,"1400 Willow Alley, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-132-5555,Nia Murray
Allergy and Immunology Unit,"1400 Willow Alley, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-982-4446,Chris Davis
Allergy and Immunology Unit,"1400 Willow Alley, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-121-7893,Ali Nassar
Allergy and Immunology Unit,"1400 Willow Alley, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-769-4436,Luis Guerra
Allergy and Immunology Unit,"1400 Willow Alley, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-662-6895,Hugo Santos
Allergy and Immunology Unit,"1400 Willow Alley, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-382-1225,Isla Robertson
Allergy and Immunology Unit,"1400 Willow Alley, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-376-5893,Sarah Parker
Allergy and Immunology Unit,"1400 Willow Alley, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-708-8022,Amelie Dubois
Allergy and Immunology Unit,"1400 Willow Alley, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-580-8996,Kato Takahashi
Dental & Oral Surgery Center,"1500 Poplar Trail, Franklin City, PA",Facilities,,,999-555-0101,
Dental & Oral Surgery Center,"1500 Poplar Trail, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-915-8683,John Smith
Dental & Oral Surgery Center,"1500 Poplar Trail, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-646-8679,Jessica Miller
Dental & Oral Surgery Center,"1500 Poplar Trail, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-116-8339,Min-jun Lee
Dental & Oral Surgery Center,"1500 Poplar Trail, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-319-3205,Robert Johnson
Dental & Oral Surgery Center,"1500 Poplar Trail, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-576-2069,Luca Rossi
Dental & Oral Surgery Center,"1500 Poplar Trail, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-472-2060,Dao Wei
Dental & Oral Surgery Center,"1500 Poplar Trail, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-379-4420,Olivia Bernard
Dental & Oral Surgery Center,"1500 Poplar Trail, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-596-1301,Ibrahim Saleh
Dental & Oral Surgery Center,"1500 Poplar Trail, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-280-1606,Lucas Novak
Cardiology Tower,"100 Elm Street, Franklin City, PA",Facilities,,,999-555-0101,
Cardiology Tower,"100 Elm Street, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-559-4385,Min-jun Lee
Cardiology Tower,"100 Elm Street, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-121-7396,Amira ElSayed
Cardiology Tower,"100 Elm Street, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-847-9666,John Smith
Cardiology Tower,"100 Elm Street, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-158-3558,Anele Dlamini
Cardiology Tower,"100 Elm Street, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-781-3047,Amelie Dubois
Cardiology Tower,"100 Elm Street, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-575-3747,Ananya Roy
Cardiology Tower,"100 Elm Street, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-882-1189,Sofia Silva
Cardiology Tower,"100 Elm Street, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-786-4005,Emily Johnson
Cardiology Tower,"100 Elm Street, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-662-2899,Samuel Dube
Neuroscience Pavilion,"200 Maple Drive, Franklin City, PA",Facilities,,,999-555-0101,
Neuroscience Pavilion,"200 Maple Drive, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-666-2267,Li Wei
Neuroscience Pavilion,"200 Maple Drive, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-931-2528,Michael Williams
Neuroscience Pavilion,"200 Maple Drive, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-230-4556,Finn Muller
Neuroscience Pavilion,"200 Maple Drive, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-918-9838,Mohamed AlHashmi
Neuroscience Pavilion,"200 Maple Drive, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-120-6393,Jessica Miller
Neuroscience Pavilion,"200 Maple Drive, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-487-9792,Chris Davis
Neuroscience Pavilion,"200 Maple Drive, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-415-9433,Diego Martinez
Neuroscience Pavilion,"200 Maple Drive, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-876-8513,Yousef Amir
Neuroscience Pavilion,"200 Maple Drive, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-664-8041,Isabella Mancini
Cancer Research Institute,"300 Oak Lane, Franklin City, PA",Facilities,,,999-555-0101,
Cancer Research Institute,"300 Oak Lane, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-439-7235,Fatima Al-Khalifa
Cancer Research Institute,"300 Oak Lane, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-466-8099,Chen Bao
Cancer Research Institute,"300 Oak Lane, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-554-1775,Haruto Takahashi
Cancer Research Institute,"300 Oak Lane, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-134-4152,Luca Rossi
Cancer Research Institute,"300 Oak Lane, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-661-4943,Lucas Novak
Cancer Research Institute,"300 Oak Lane, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-487-4073,Ibrahim Saleh
Cancer Research Institute,"300 Oak Lane, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-489-4843,Chen Yu
Cancer Research Institute,"300 Oak Lane, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-921-7873,Min-jun Lee
Cancer Research Institute,"300 Oak Lane, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-655-1161,Amira ElSayed
Orthopedic Center,"400 Pine Road, Franklin City, PA",Facilities,,,999-555-0101,
Orthopedic Center,"400 Pine Road, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-301-1995,John Smith
Orthopedic Center,"400 Pine Road, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-369-8629,Anele Dlamini
Orthopedic Center,"400 Pine Road, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-826-2016,Amelie Dubois
Orthopedic Center,"400 Pine Road, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-801-7439,Ananya Roy
Orthopedic Center,"400 Pine Road, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-824-7863,Sofia Silva
Orthopedic Center,"400 Pine Road, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-848-9529,Emily Johnson
Orthopedic Center,"400 Pine Road, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-978-5887,Samuel Dube
Orthopedic Center,"400 Pine Road, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-316-5859,Li Wei
Orthopedic Center,"400 Pine Road, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-287-9571,Michael Williams
Emergency Medicine Building,"500 Cedar Avenue, Franklin City, PA",Facilities,,,999-555-0101,
Emergency Medicine Building,"500 Cedar Avenue, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-592-8208,Finn Muller
Emergency Medicine Building,"500 Cedar Avenue, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-256-3062,Mohamed AlHashmi
Emergency Medicine Building,"500 Cedar Avenue, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-912-1064,Jessica Miller
Emergency Medicine Building,"500 Cedar Avenue, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-956-9006,Chris Davis
Emergency Medicine Building,"500 Cedar Avenue, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-620-6463,Diego Martinez
Emergency Medicine Building,"500 Cedar Avenue, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-228-3027,Yousef Amir
Emergency Medicine Building,"500 Cedar Avenue, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-747-6258,Isabella Mancini
Emergency Medicine Building,"500 Cedar Avenue, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-598-7736,Fatima Al-Khalifa
Emergency Medicine Building,"500 Cedar Avenue, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-491-6892,Chen Bao
Maternity Ward,"600 Birch Way, Franklin City, PA",Facilities,,,999-555-0101,
Maternity Ward,"600 Birch Way, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-745-4627,Chen Yu
Maternity Ward,"600 Birch Way, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-439-6450,Hans Schmidt
Maternity Ward,"600 Birch Way, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-739-6592,Amina Ndiaye
Maternity Ward,"600 Birch Way, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-330-8392,Sun Li
Maternity Ward,"600 Birch Way, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-484-2306,Nadia Farah
Maternity Ward,"600 Birch Way, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-732-6864,Amira ElSayed
Maternity Ward,"600 Birch Way, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-358-8526,Omar Kader
Maternity Ward,"600 Birch Way, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-809-6575,Ananya Roy
Maternity Ward,"600 Birch Way, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-510-5413,Mei Chen
Pediatric Hospital,"700 Walnut Street, Franklin City, PA",Facilities,,,999-555-0101,
Pediatric Hospital,"700 Walnut Street, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-776-1663,Haruto Takahashi
Pediatric Hospital,"700 Walnut Street, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-926-2495,Isabella Mancini
Pediatric Hospital,"700 Walnut Street, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-332-4763,Michael Williams
Pediatric Hospital,"700 Walnut Street, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-212-2853,Diego Martinez
Pediatric Hospital,"700 Walnut Street, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-596-7585,Chen Bao
Pediatric Hospital,"700 Walnut Street, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-663-2291,Betty Harris
Pediatric Hospital,"700 Walnut Street, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-609-8554,Elena Mancini
Pediatric Hospital,"700 Walnut Street, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-212-2636,Anele Dlamini
Pediatric Hospital,"700 Walnut Street, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-724-1698,Yousef Amir
Geriatric Health Facility,"800 Chestnut Place, Franklin City, PA",Facilities,,,999-555-0101,
Geriatric Health Facility,"800 Chestnut Place, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-212-5737,Steven Wilson
Geriatric Health Facility,"800 Chestnut Place, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-319-1854,Fatima Al-Khalifa
Geriatric Health Facility,"800 Chestnut Place, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-835-8392,Mohamed AlHashmi
Geriatric Health Facility,"800 Chestnut Place, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-484-6249,Li Wei
Geriatric Health Facility,"800 Chestnut Place, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-152-2707,Nia Murray
Geriatric Health Facility,"800 Chestnut Place, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-829-6791,Chris Davis
Geriatric Health Facility,"800 Chestnut Place, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-809-6535,Ali Nassar
Geriatric Health Facility,"800 Chestnut Place, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-346-5931,Luis Guerra
Geriatric Health Facility,"800 Chestnut Place, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-538-1202,Hugo Santos
Psychiatric Annex,"900 Ash Boulevard, Franklin City, PA",Facilities,,,999-555-0101,
Psychiatric Annex,"900 Ash Boulevard, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-283-5218,Isla Robertson
Psychiatric Annex,"900 Ash Boulevard, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-500-9958,Sarah Parker
Psychiatric Annex,"900 Ash Boulevard, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-393-3327,Amelie Dubois
Psychiatric Annex,"900 Ash Boulevard, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-936-3931,Kato Takahashi
Psychiatric Annex,"900 Ash Boulevard, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-709-1197,John Smith
Psychiatric Annex,"900 Ash Boulevard, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-610-7287,Jessica Miller
Psychiatric Annex,"900 Ash Boulevard, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-708-5282,Min-jun Lee
Psychiatric Annex,"900 Ash Boulevard, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-425-3511,Robert Johnson
Psychiatric Annex,"900 Ash Boulevard, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-448-1659,Luca Rossi
Rehabilitation & Physical Therapy Center,"1000 Spruce Circle, Franklin City, PA",Facilities,,,999-555-0101,
Rehabilitation & Physical Therapy Center,"1000 Spruce Circle, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-863-8098,Dao Wei
Rehabilitation & Physical Therapy Center,"1000 Spruce Circle, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-502-2986,Olivia Bernard
Rehabilitation & Physical Therapy Center,"1000 Spruce Circle, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-610-9338,Ibrahim Saleh
Rehabilitation & Physical Therapy Center,"1000 Spruce Circle, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-247-3911,Lucas Novak
Rehabilitation & Physical Therapy Center,"1000 Spruce Circle, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-810-2843,Raj Patel
Rehabilitation & Physical Therapy Center,"1000 Spruce Circle, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-588-3976,Suki Kim
Rehabilitation & Physical Therapy Center,"1000 Spruce Circle, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-739-7694,Finn Muller
Rehabilitation & Physical Therapy Center,"1000 Spruce Circle, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-437-5736,Emily Johnson
Rehabilitation & Physical Therapy Center,"1000 Spruce Circle, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-878-9155,Samuel Dube
Diabetes and Endocrinology Clinic,"1100 Hawthorn Isle, Franklin City, PA",Facilities,,,999-555-0101,
Diabetes and Endocrinology Clinic,"1100 Hawthorn Isle, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-572-6534,Sofia Silva
Diabetes and Endocrinology Clinic,"1100 Hawthorn Isle, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-397-1262,Karen White
Diabetes and Endocrinology Clinic,"1100 Hawthorn Isle, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-863-7287,Sadiq Aziz
Diabetes and Endocrinology Clinic,"1100 Hawthorn Isle, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-445-9815,Oscar Holmberg
Diabetes and Endocrinology Clinic,"1100 Hawthorn Isle, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-671-3049,Laila Rahimi
Diabetes and Endocrinology Clinic,"1100 Hawthorn Isle, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-996-6423,Chen Yu
Diabetes and Endocrinology Clinic,"1100 Hawthorn Isle, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-353-5548,Hans Schmidt
Diabetes and Endocrinology Clinic,"1100 Hawthorn Isle, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-136-8158,Amina Ndiaye
Diabetes and Endocrinology Clinic,"1100 Hawthorn Isle, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-108-8400,Sun Li
Infectious Disease Lab,"1200 Sycamore Parkway, Franklin City, PA",Facilities,,,999-555-0101,
Infectious Disease Lab,"1200 Sycamore Parkway, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-198-3255,Nadia Farah
Infectious Disease Lab,"1200 Sycamore Parkway, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-230-5499,Amira ElSayed
Infectious Disease Lab,"1200 Sycamore Parkway, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-251-7197,Omar Kader
Infectious Disease Lab,"1200 Sycamore Parkway, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-219-2648,Ananya Roy
Infectious Disease Lab,"1200 Sycamore Parkway, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-519-5199,Mei Chen
Infectious Disease Lab,"1200 Sycamore Parkway, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-951-9445,Haruto Takahashi
Infectious Disease Lab,"1200 Sycamore Parkway, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-326-3557,Isabella Mancini
Infectious Disease Lab,"1200 Sycamore Parkway, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-572-1098,Michael Williams
Infectious Disease Lab,"1200 Sycamore Parkway, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-252-3961,Diego Martinez
Dermatology Department,"1300 Magnolia Street, Franklin City, PA",Facilities,,,999-555-0101,
Dermatology Department,"1300 Magnolia Street, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-995-5973,Chen Bao
Dermatology Department,"1300 Magnolia Street, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-437-3869,Betty Harris
Dermatology Department,"1300 Magnolia Street, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-262-1956,Elena Mancini
Dermatology Department,"1300 Magnolia Street, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-780-9352,Anele Dlamini
Dermatology Department,"1300 Magnolia Street, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-679-7944,Yousef Amir
Dermatology Department,"1300 Magnolia Street, Franklin City, PA",EUS,,11:00 PM - 7:00 AM,999-497-5911,Steven Wilson
Dermatology Department,"1300 Magnolia Street, Franklin City, PA",Networking,,7:00 AM - 3:00 PM,999-603-7015,Fatima Al-Khalifa
Dermatology Department,"1300 Magnolia Street, Franklin City, PA",Networking,,3:00 PM - 11:00 PM,999-491-2218,Mohamed AlHashmi
Dermatology Department,"1300 Magnolia Street, Franklin City, PA",Networking,,11:00 PM - 7:00 AM,999-500-5735,Li Wei
Allergy and Immunology Unit,"1400 Willow Alley, Franklin City, PA",Facilities,,,999-555-0101,
Allergy and Immunology Unit,"1400 Willow Alley, Franklin City, PA",CE,,7:00 AM - 3:00 PM,999-132-5555,Nia Murray
Allergy and Immunology Unit,"1400 Willow Alley, Franklin City, PA",CE,,3:00 PM - 11:00 PM,999-982-4446,Chris Davis
Allergy and Immunology Unit,"1400 Willow Alley, Franklin City, PA",CE,,11:00 PM - 7:00 AM,999-121-7893,Ali Nassar
Allergy and Immunology Unit,"1400 Willow Alley, Franklin City, PA",EUS,,7:00 AM - 3:00 PM,999-769-4436,Luis Guerra
Allergy and Immunology Unit,"1400 Willow Alley, Franklin City, PA",EUS,,3:00 PM - 11:00 PM,999-662-6895,Hugo Santos
